no polarizar,,,polarizer horizontal,,,polarizer vertical,
"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:34 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:40 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:43 AM",
Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts)
204.01667,0.86898,,180.08333,0.71596,,220.68333,0.33693
204.08333,0.86335,,180.08333,0.7187,,220.83333,0.33516
204.2,0.84353,,180.08333,0.71966,,221.06667,0.32388
204.33333,0.83548,,180.08333,0.7187,,221.38333,0.27169
204.46667,0.81631,,180.08333,0.72337,,221.68333,0.1744
204.56667,0.80665,,180.08333,0.71918,,221.93333,0.14557
204.65,0.79344,,180.08333,0.72192,,222.1,0.25285
204.75,0.76654,,180.08333,0.7195,,222.2,0.2907
204.86667,0.74173,,180.08333,0.72015,,222.26667,0.30939
204.96667,0.71161,,180.08333,0.71821,,222.35,0.31776
205.03333,0.69034,,180.08333,0.71902,,222.41667,0.32405
205.1,0.66312,,180.08333,0.71805,,222.51667,0.32984
205.2,0.62575,,180.08333,0.72015,,222.66667,0.33645
205.33333,0.5734,,180.08333,0.71596,,222.85,0.34048
205.46667,0.52153,,180.08333,0.71676,,223.03333,0.33822
205.61667,0.43906,,180.08333,0.71596,,223.2,0.32388
205.8,0.46338,,180.08333,0.71886,,223.35,0.31196
206,0.56889,,180.08333,0.7166,,223.48333,0.31084
206.16667,0.71821,,180.08333,0.72031,,223.63333,0.30117
206.26667,0.73013,,180.08333,0.71692,,223.75,0.28812
206.35,0.72095,,180.08333,0.72321,,223.85,0.28184
206.4,0.70871,,180.06667,0.72417,,223.9,0.28007
206.46667,0.70726,,180.06667,0.74286,,223.98333,0.27298
206.56667,0.74737,,180.06667,0.72691,,224.11667,0.27733
206.71667,0.79102,,180.06667,0.73674,,224.26667,0.27943
206.85,0.78764,,180.06667,0.71644,,224.43333,0.29634
206.95,0.78087,,180.06667,0.7137,,224.56667,0.31212
207,0.78587,,180.06667,0.71547,,224.7,0.31825
207.03333,0.78587,,180.06667,0.71499,,224.81667,0.31068
207.1,0.78474,,180.08333,0.72079,,224.91667,0.29924
207.2,0.78877,,180.08333,0.7224,,225.05,0.29537
207.36667,0.77636,,180.08333,0.71821,,225.18333,0.26831
207.68333,0.74753,,180.08333,0.69034,,225.36667,0.19985
